property_name,seller,facilities,advantages,column0,column1,column2,column3,column4,column5,floors,units,total project area,towers,open area,address
Vasavi Bhuvi,VASAVI INFRACON LLPBuilder,24,6.181818182,3,Apartment,Super Built-up Area,1992.5,(148.64 - 221.57 sq.m.),1.077,17,1208,10.65,8,65%,"kompally,hyderabad"
Aparna Cyber Shine,APARNA CONSTRUCTIONS AND ESTATES PVT LTDBuilder,20,13.00833333,2,Apartment,Super Built-up Area,1291,(116.31 - 123.56 sq.m.),0.86485,17,330,,2,,"Osman nagar,hyderabad"
Aparna Cyber Shine,APARNA CONSTRUCTIONS AND ESTATES PVT LTDBuilder,20,13.00833333,3,Apartment,Super Built-up Area,1678.5,(142.42 - 169.46 sq.m.),1.125,17,330,,2,,"Osman nagar,hyderabad"
Ramky One Orion,Ramky Estates & Farms LtdBuilder,18,9.8,3,Apartment,Super Built-up Area,1545,(117.52 - 169.55 sq.m.),1.2,16,1144,10.07,6,,"pocharam,hyderabad"
Kalyans Skyway 9,KALYAN INFRA PROJECTSBuilder,24,7.861538462,2,Apartment,Super Built-up Area,1365,(122.17 - 131.46 sq.m.),0.9282,10,111,1.09,1,,"narsingi,hyderabad"
Kalyans Skyway 9,KALYAN INFRA PROJECTSBuilder,24,7.861538462,3,Apartment,Super Built-up Area,1875,(149.57 - 198.81 sq.m.),1.275,10,111,1.09,1,,"narsingi,hyderabad"
Essen Marvella,ESSEN INFRABuilder,24,0.916666667,2,Apartment,Super Built-up Area,1212.5,(102.66 - 122.63 sq.m.),0.70325,5,115,1.65,2,,"kompally,hyderabad"
Essen Marvella,ESSEN INFRABuilder,24,0.916666667,3,Apartment,Super Built-up Area,1527.5,(137.5 - 146.32 sq.m.),0.88595,5,115,1.65,2,,"kompally,hyderabad"
Anuhar Gautami Heights,Anuhar HomesBuilder,23,7.973076923,2,Apartment,Super Built-up Area,1410,(110.55 - 151.43 sq.m.),0.91675,10,244,2,1,59%,"miyapur,hyderabad"
Anuhar Gautami Heights,Anuhar HomesBuilder,23,7.973076923,3,Apartment,Super Built-up Area,1811,(153.66 - 182.83 sq.m.),1.18,10,244,2,1,59%,"miyapur,hyderabad"
Abinandana Skylark 1,Abinandana Infra Reality LLPBuilder,9,1.946666667,3,Apartment,Super Built-up Area,1952.5,(131.92 - 230.86 sq.m.),1.01415,10,238,2.05,3,55%,"kollur,hyderabad"
Lalitha Divine County,Lalitha Constructions and DevelopersBuilder,25,,2,Apartment,Super Built-up Area,1152.5,(102.66 - 111.48 sq.m.),0.6078,5,220,2.18,4,,"chandanagar,hyderabad"
Lalitha Divine County,Lalitha Constructions and DevelopersBuilder,25,,3,Apartment,Super Built-up Area,1492.5,(134.71 - 142.61 sq.m.),0.8209,5,220,2.18,4,,"chandanagar,hyderabad"
Subishi Fortuna Towers,Ceyone Marketing Private LimitedDealer,26,,3,Apartment,Super Built-up Area,2514,(222.5 - 244.61 sq.m.),1.455,15,224,2.43,1,,"mokila,hyderabad"
Subishi Fortuna Towers,Ceyone Marketing Private LimitedDealer,26,,4,Apartment,Super Built-up Area,2752.5,(252.23 - 259.2 sq.m.),1.64,15,224,2.43,1,,"mokila,hyderabad"
BSCPL Bollineni Bion,BSCPL Infrastructure LtdBuilder,18,3.65,3,Apartment,Super Built-up Area,2065,(170.94 - 212.75 sq.m.),2.58,25,890,8.65,3,75%,"kondapur,hyderabad"
BSCPL Bollineni Bion,BSCPL Infrastructure LtdBuilder,18,3.65,4,Apartment,Super Built-up Area,3350,(311.23 sq.m.),4.19,25,890,8.65,3,75%,"kondapur,hyderabad"
SMR Vinay Heights,SMR BUILDERS PRIVATE LIMITEDBuilder,19,0.876666667,2,Apartment,Super Built-up Area,1290,(110.55 - 129.14 sq.m.),0.8127,10,70,0.585577978,1,,"Bandlaguda jagir,hyderabad"
SMR Vinay Heights,SMR BUILDERS PRIVATE LIMITEDBuilder,19,0.876666667,3,Apartment,Super Built-up Area,1193.666667,(147.72 - 178.9 sq.m.),1.21,10,70,0.585577978,1,,"Bandlaguda jagir,hyderabad"
Mahaveer Crystal Garden,MAHAVEER ESTATE PROJECTSBuilder,23,8.223076923,3,Apartment,Super Built-up Area,2160,(152.36 - 248.98 sq.m.),1.835,35,790,5.047419001,3,,"attapur,hyderabad"
Mahaveer Crystal Garden,MAHAVEER ESTATE PROJECTSBuilder,23,8.223076923,4,Apartment,Super Built-up Area,3298.666667,(422.71 - 496.57 sq.m.),4.205,35,790,5.047419001,3,,"attapur,hyderabad"
